x,y,z,rx,ry,rz
0,0,0,88.43,50.34,0.0
0,0,10,88.43,46.33,10.0
0,0,20,88.43,41.65,20.0
0,0,30,88.43,36.48,30.0
0,0,40,88.43,30.91,40.0
0,0,50,88.43,25.04,50.0
0,0,60,88.43,18.96,60.0
0,0,70,88.43,12.72,70.0
0,0,80,88.43,6.39,80.0
0,0,90,88.43,0.0,
0,0,100,88.43,-0.0,80.0
0,0,110,88.43,0.0,70.0
0,0,120,88.43,0.0,60.0
0,0,130,88.43,-0.0,50.0
0,0,140,88.43,0.0,40.0
0,0,150,88.43,-0.0,30.0
0,0,160,88.43,0.0,20.0
0,0,170,88.43,0.0,10.0
0,0,180,88.43,0.0,0.0
0,10,0,88.43,60.34,0.0
0,10,10,88.43,56.33,10.0
0,10,20,88.43,51.65,20.0
0,10,30,88.43,46.48,30.0
0,10,40,88.43,40.91,40.0
0,10,50,88.43,35.04,50.0
0,10,60,88.43,28.96,60.0
0,10,70,88.43,22.72,70.0
0,10,80,88.43,16.39,80.0
0,10,90,88.43,10.0,90.0
0,10,100,88.43,10.0,80.0
0,10,110,88.43,10.0,70.0
0,10,120,88.43,10.0,60.0
0,10,130,88.43,10.0,50.0
0,10,140,88.43,10.0,40.0
0,10,150,88.43,10.0,30.0
0,10,160,88.43,10.0,20.0
0,10,170,88.43,10.0,10.0
0,10,180,88.43,10.0,0.0
0,20,0,88.43,70.34,0.0
0,20,10,88.43,66.33,10.0
0,20,20,88.43,61.65,20.0
0,20,30,88.43,56.48,30.0
0,20,40,88.43,50.91,40.0
0,20,50,88.43,45.04,50.0
0,20,60,88.43,38.96,60.0
0,20,70,88.43,32.72,70.0
0,20,80,88.43,26.39,80.0
0,20,90,88.43,20.0,
0,20,100,88.43,20.0,80.0
0,20,110,88.43,20.0,70.0
0,20,120,88.43,20.0,60.0
0,20,130,88.43,20.0,50.0
0,20,140,88.43,20.0,40.0
0,20,150,88.43,20.0,30.0
0,20,160,88.43,20.0,20.0
0,20,170,88.43,20.0,10.0
0,20,180,88.43,20.0,0.0
0,30,0,88.43,80.34,-0.0
0,30,10,88.43,76.33,10.0
0,30,20,88.43,71.65,20.0
0,30,30,88.43,66.48,30.0
0,30,40,88.43,60.91,40.0
0,30,50,88.43,55.04,50.0
0,30,60,88.43,48.96,60.0
0,30,70,88.43,42.72,70.0
0,30,80,88.43,36.39,80.0
0,30,90,88.43,30.0,90.0
0,30,100,88.43,30.0,80.0
0,30,110,88.43,30.0,70.0
0,30,120,88.43,30.0,60.0
0,30,130,88.43,30.0,50.0
0,30,140,88.43,30.0,40.0
0,30,150,88.43,30.0,30.0
0,30,160,88.43,30.0,20.0
0,30,170,88.43,30.0,10.0
0,30,180,88.43,30.0,0.0
0,40,0,88.43,90.34,-0.0
0,40,10,88.43,86.33,10.0
0,40,20,88.43,81.65,20.0
0,40,30,88.43,76.48,30.0
0,40,40,88.43,70.91,40.0
0,40,50,88.43,65.04,50.0
0,40,60,88.43,58.96,60.0
0,40,70,88.43,52.72,70.0
0,40,80,88.43,46.39,80.0
0,40,90,88.43,40.0,90.0
0,40,100,88.43,40.0,80.0
0,40,110,88.43,40.0,70.0
0,40,120,88.43,40.0,60.0
0,40,130,88.43,40.0,50.0
0,40,140,88.43,40.0,40.0
0,40,150,88.43,40.0,30.0
0,40,160,88.43,40.0,20.0
0,40,170,88.43,40.0,10.0
0,40,180,88.43,40.0,0.0
0,50,0,88.43,100.34,0.0
0,50,10,88.43,96.33,10.0
0,50,20,88.43,91.65,20.0
0,50,30,88.43,86.48,30.0
0,50,40,88.43,80.91,40.0
0,50,50,88.43,75.04,50.0
0,50,60,88.43,68.96,60.0
0,50,70,88.43,62.72,70.0
0,50,80,88.43,56.39,80.0
0,50,90,88.43,50.0,
0,50,100,88.43,50.0,80.0
0,50,110,88.43,50.0,70.0
0,50,120,88.43,50.0,60.0
0,50,130,88.43,50.0,50.0
0,50,140,88.43,50.0,40.0
