epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10405,1.13651,2.94736,1.21976,0.00333,1,0.18507,0.087,1.01383,2.92625,1.21843,8e-05,8e-05,8e-05
2,4.71731,0.9362,2.88699,1.25707,0.00333,1,0.64205,0.52402,0.734,2.82065,1.0774,0.000176436,0.000176436,0.000176436
3,6.37404,0.67607,1.6157,0.99803,0.98772,0.82353,0.96255,0.67345,0.89174,2.06244,0.98573,0.000268912,0.000268912,0.000268912
4,7.98833,1.10747,2.20786,1.26461,0.99059,0.88235,0.94067,0.78498,0.71987,1.80086,1.01404,0.000357428,0.000357428,0.000357428
5,9.65347,0.63922,1.15937,0.96523,1,0.60561,0.88757,0.71907,0.85515,2.30241,1.07518,0.000441984,0.000441984,0.000441984
6,11.2354,0.66741,1.23648,0.97456,0.98242,0.88235,0.93079,0.77193,0.81376,2.01314,1.05584,0.00052258,0.00052258,0.00052258
7,12.8434,0.66434,1.12586,0.93155,0.99311,0.88235,0.92872,0.768,0.7291,1.63921,0.96489,0.000599216,0.000599216,0.000599216
8,14.3868,0.68772,1.12889,0.97023,1,0.85822,0.92348,0.75991,0.74908,1.79211,1.03987,0.000671892,0.000671892,0.000671892
9,15.9851,0.74256,1.06737,0.96246,0.99108,0.88235,0.94155,0.7248,0.82341,1.88576,1.09966,0.000740608,0.000740608,0.000740608
10,17.567,0.74049,1.03151,0.95401,1,0.79714,0.94155,0.78405,0.77945,2.1154,1.08775,0.000805364,0.000805364,0.000805364
11,19.1385,0.51905,3.76305,0.75408,1,0.69252,0.89868,0.69732,0.79566,2.3276,1.03085,0.00086616,0.00086616,0.00086616
12,20.7261,0.69236,1.17132,1.00286,1,0.30234,0.61662,0.4078,1.24768,2.89709,1.29301,0.000922996,0.000922996,0.000922996
13,22.2843,0.68906,1.00033,0.94983,1,0.4105,0.61554,0.34046,1.58894,2.92771,1.47056,0.000975872,0.000975872,0.000975872
14,23.8558,0.59377,0.91625,0.91526,0.73506,0.41176,0.4646,0.32814,1.3146,2.7827,1.3036,0.00102479,0.00102479,0.00102479
